date,portfolio_value,returns,cummax,drawdown,strategy
2025-10-15,22101.419366087444,-0.010002757961726116,111318.09666228008,-0.8014570853368133,Long Low Volume / Short High Volume
2025-10-16,21967.729757135403,-0.0060489150826745774,111318.09666228008,-0.8026580545678776,Long Low Volume / Short High Volume
2025-10-17,21913.45791165349,-0.002470525906951404,111318.09666228008,-0.8031455929565959,Long Low Volume / Short High Volume
2025-10-18,21858.022543130788,-0.0025297407988368326,111318.09666228008,-0.8036435835815243,Long Low Volume / Short High Volume
2025-10-19,21836.012519470893,-0.0010069540195809523,111318.09666228008,-0.8038413054643074,Long Low Volume / Short High Volume
2025-10-20,21725.576183464273,-0.005057532180298252,111318.09666228008,-0.804833384374367,Long Low Volume / Short High Volume
2025-10-21,21759.39776739645,0.0015567634960089727,111318.09666228008,-0.8045295561115214,Long Low Volume / Short High Volume
2025-10-22,21648.562919806474,-0.0050936541890901355,111318.09666228008,-0.8055252149568773,Long Low Volume / Short High Volume
2025-10-23,21753.360632734217,0.004840862338804985,111318.09666228008,-0.8045837892941149,Long Low Volume / Short High Volume
2025-10-24,21707.42608874719,-0.0021116067886037815,111318.09666228008,-0.8049964314912446,Long Low Volume / Short High Volume
2020-09-16,99485.30141350013,,99485.30141350013,0.0,Long Low RVOL / Short High RVOL
2020-09-17,102632.3095096804,0.03163289502536726,102632.3095096804,0.0,Long Low RVOL / Short High RVOL
2020-09-18,103081.63833638086,0.004378044583105423,103081.63833638086,0.0,Long Low RVOL / Short High RVOL
2020-09-19,104625.53014418508,0.014977369711239197,104625.53014418508,0.0,Long Low RVOL / Short High RVOL
2020-09-20,105928.25299572416,0.012451290327932352,105928.25299572416,0.0,Long Low RVOL / Short High RVOL
2020-09-21,107736.64467376069,0.017071854079473203,107736.64467376069,0.0,Long Low RVOL / Short High RVOL
2020-09-22,107087.7463901938,-0.006023004387521347,107736.64467376069,-0.006023004387521325,Long Low RVOL / Short High RVOL
2020-09-23,110246.94320660921,0.029501011300623547,110246.94320660921,0.0,Long Low RVOL / Short High RVOL
2020-09-24,103931.98020654016,-0.057280164115157794,110246.94320660921,-0.05728016411515776,Long Low RVOL / Short High RVOL
2020-09-25,101716.76631292667,-0.02131407377412875,110246.94320660921,-0.07737336424554184,Long Low RVOL / Short High RVOL
2020-09-26,99885.87824945134,-0.017999865015789984,110246.94320660921,-0.09398051914909449,Long Low RVOL / Short High RVOL
2020-09-27,100559.30957568246,0.006742007359131552,110246.94320660921,-0.08787212914168113,Long Low RVOL / Short High RVOL
2020-09-28,101777.65013507757,0.012115641650046971,110246.94320660921,-0.07682111471934144,Long Low RVOL / Short High RVOL
2020-09-29,104685.0295963599,0.028565991231117138,110246.94320660921,-0.050449594777661595,Long Low RVOL / Short High RVOL
2020-09-30,103566.21998002795,-0.010687388833396816,110246.94320660921,-0.06059780917518228,Long Low RVOL / Short High RVOL
