date,symbol,open,high,low,close,volume
2025-08-29,ZORA/USDC,0.08342,0.08345,0.07212,0.07512,158169900.0
2025-08-30,ADA/USD,0.8267,0.8443,0.806,0.8222,22660066.34409626
2025-08-30,ADA/USDC,0.8267,0.8443,0.806,0.8222,22660066.34409626
2025-08-30,AVAX/USD,23.55,23.94,23.11,23.78,385237.06223737
2025-08-30,AVAX/USDC,23.55,23.94,23.11,23.78,385237.06223737
2025-08-30,BONK/USD,2.18e-05,2.331e-05,2.115e-05,2.242e-05,975058437906.0
2025-08-30,BTC/USD,108378.32,108928.79,107369.69,108827.93,2828.67461609
2025-08-30,BTC/USDC,108378.32,108928.79,107369.69,108827.93,2828.67461609
2025-08-30,BTC/USDT,108375.09,108917.43,107352.02,108826.12,99.94585724
2025-08-30,CLANKER/USD,43.1,44.35,42.15,42.95,4624.9855
2025-08-30,CLANKER/USDC,43.1,44.35,42.15,42.95,4624.9855
2025-08-30,DIA/USD,0.7245,0.7388,0.70013,0.71038,962663.19
2025-08-30,DIA/USDC,0.7245,0.7388,0.70013,0.71038,962663.19
2025-08-30,DOGE/USD,0.21394,0.2189,0.21131,0.21597,83604297.1
2025-08-30,DOGE/USDC,0.21394,0.2189,0.21131,0.21597,83604297.1
2025-08-30,ENA/USD,0.6418,0.6825,0.624,0.6547,11844419.5
2025-08-30,ENA/USDC,0.6418,0.6825,0.624,0.6547,11844419.5
2025-08-30,ETH/USD,4360.21,4415.29,4257.17,4374.58,66655.29676488
2025-08-30,ETH/USDC,4360.21,4415.29,4257.17,4374.58,66655.29676488
2025-08-30,ETH/USDT,4361.15,4415.46,4257.72,4373.85,5091.50472754
2025-08-30,HBAR/USD,0.228,0.22946,0.22035,0.22577,64089575.8
2025-08-30,HBAR/USDC,0.228,0.22946,0.22035,0.22577,64089575.8
2025-08-30,LINK/USD,23.428,23.525,22.825,23.513,943320.97
2025-08-30,LINK/USDC,23.428,23.525,22.825,23.513,943320.97
2025-08-30,LTC/USD,109.94,111.26,108.33,110.86,80802.18524496
2025-08-30,LTC/USDC,109.94,111.26,108.33,110.86,80802.18524496
2025-08-30,PENGU/USD,0.0293,0.03067,0.02871,0.02979,382127128.0
2025-08-30,PENGU/USDC,0.0293,0.03067,0.02871,0.02979,382127128.0
2025-08-30,PUMP/USD,0.003505,0.003727,0.003354,0.003449,2354295281.0
2025-08-30,PUMP/USDC,0.003505,0.003727,0.003354,0.003449,2354295281.0
2025-08-30,SOL/USD,205.1,207.04,197.57,202.74,885970.39936857
2025-08-30,SOL/USDC,205.1,207.04,197.57,202.74,885970.39936857
2025-08-30,SUI/USD,3.2816,3.3443,3.224,3.306,5120412.4
2025-08-30,SUI/USDC,3.2816,3.3443,3.224,3.306,5120412.4
2025-08-30,TAO/USD,319.55,331.39,315.0,323.15,9894.4067
2025-08-30,TAO/USDC,319.55,331.39,315.0,323.15,9894.4067
2025-08-30,USDT/USD,1.00006,1.00016,0.9999,1.0001,44027339.26
2025-08-30,USELESS/USD,0.2223,0.2223,0.205,0.2123,4734057.2
