date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2022-03-15,1.3747614735770006,0.046779426962636025,4,1,3,-2.5005433452166113
2022-03-16,1.3526551921806322,-0.016080085033842152,4,1,3,-4.915477718254793
2022-03-17,1.4257202474213495,0.05401602393802092,4,1,3,-4.543944155412392
2022-03-18,1.535682671185717,0.07712763002647449,4,1,3,6.994728249400311
2022-03-19,1.4691619762334258,-0.043316693090591274,4,1,3,0.33846748985909003
2022-03-20,1.4977136573153969,0.019433991311952274,4,1,3,5.133474915054017
2022-03-21,1.3455701015381318,-0.10158387421663581,4,1,3,-3.420655400366948
2022-03-22,1.3948640831650747,0.036634272395466114,4,1,3,2.315046380246892
2022-03-23,1.4269518884855694,0.023004252319469398,4,1,3,5.641074318244796
2022-03-24,1.3534641150809497,-0.05149982560562199,4,1,3,-3.899777446246982
2022-03-25,1.2749413089374935,-0.0580161714437177,4,1,3,-7.472132437984044
2022-03-26,1.2626886616776418,-0.009610361805644837,4,1,3,-11.555623035848264
2022-03-27,1.2852072802732224,0.01783386457724401,4,1,3,-6.200037591658382
2022-03-28,1.2866651315264264,0.0011343316176157282,4,1,3,-0.2531921112620756
2022-03-29,1.3479197231412465,0.04760725235644758,4,1,3,1.721531651630516
2022-03-30,1.5851053677530262,0.17596422141448648,4,1,3,20.278406172976933
2022-03-31,1.7150510382830642,0.08197920035703558,4,1,3,27.414563999986235
2022-04-01,1.8783667370088528,0.09522497877922284,4,1,3,40.593760130022815
2022-04-02,1.8952427259197802,0.008984395101566248,4,2,2,45.56742014085672
2022-04-03,1.8661420603152064,-0.01535458503894323,4,2,2,41.37912827184777
2022-04-04,1.926148098816724,0.032155128903413904,4,2,2,37.82242063359208
2022-04-05,1.9015131345626797,-0.012789756026121847,4,2,2,37.353147135602306
