date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2024-04-21,4562.395426230355,1,1,0.5,0.5,0.0,1.0,-1.1017757391923506,-0.29636346043939527,-0.010192041475288183,14490.821841210956,-0.6851527486691473
2024-04-22,4476.979880859859,1,1,0.5,0.5,0.0,1.0,-1.3741300008267563,-0.25236564739302514,-0.018721644528972847,14490.821841210956,-0.6910472069894877
2024-04-23,4529.181223747614,1,1,0.5,0.5,0.0,1.0,0.6163440165163735,-0.9196120806389716,0.011659945828867535,14490.821841210956,-0.6874448341593078
2024-04-24,4490.522343766883,1,1,0.5,0.5,0.0,1.0,0.7769371884273333,-0.08308831896217965,-0.008535511844399934,14490.821841210956,-0.6901126524793695
2024-04-25,4593.238389974381,1,1,0.5,0.5,0.0,1.0,0.8167983528253474,0.08209606623077145,0.02287396394988983,14490.821841210956,-0.6830243004636557
2024-04-26,4667.777409688864,1,1,0.5,0.5,0.0,1.0,0.8398054802089602,0.2909770087109777,0.016227988487856226,14490.821841210956,-0.6778804224606496
2024-04-27,4839.07287784017,1,1,0.5,0.5,0.0,1.0,0.8300509089539108,0.1778407815805684,0.03669743715622542,14490.821841210956,-0.6660594595071094
2024-04-28,5115.903020124625,1,1,0.5,0.5,0.0,1.0,0.6666424772065285,0.19838814858832687,0.05720726867994874,14490.821841210956,-0.6469556332840054
2024-04-29,5099.670327237919,1,1,0.5,0.5,0.0,1.0,0.5785149953165036,0.32559497510236174,-0.003172986826147972,14490.821841210956,-0.6480758384086409
2024-04-30,5138.076333501877,1,1,0.5,0.5,0.0,1.0,0.47707977098914206,-0.398077916491251,0.007531076285231197,14490.821841210956,-0.6454254707010804
2024-05-01,5206.577522549875,1,1,0.5,0.5,0.0,1.0,0.3990909981502745,-0.35391486384304627,0.013332069163968674,14490.821841210956,-0.6406982585526857
2024-05-02,5302.675706709342,1,1,0.5,0.5,0.0,1.0,0.27508322185406836,-0.2799805062753889,0.018457073527333945,14490.821841210956,-0.6340665998922934
2024-05-03,5290.828266503869,1,1,0.5,0.5,0.0,1.0,0.17857725864284357,-0.21590093526910983,-0.0022342381206685857,14490.821841210956,-0.63488418224444
2024-05-04,5414.005499376536,1,1,0.5,0.5,0.0,1.0,0.2075973369040173,0.21433219112216462,0.023281275949268654,14490.821841210956,-0.6263838201378298
2024-05-05,5336.771312907303,1,1,0.5,0.5,0.0,1.0,0.12488599327545828,0.17793660887746118,-0.014265627635237421,14490.821841210956,-0.6317136894382436
2024-05-06,5363.692905866367,1,1,0.5,0.5,0.0,1.0,0.18494227742246158,0.22960676400044547,0.005044546858126164,14490.821841210956,-0.6298558518874083
2024-05-07,5388.084357534331,1,1,0.5,0.5,0.0,1.0,0.26240358307101586,-0.4946075368280174,0.00454751084673144,14490.821841210956,-0.6281726173590121
2024-05-08,5491.3906456747345,1,1,0.5,0.5,0.0,1.0,0.3289609102463452,-0.5349727170745429,0.019173101474543097,14490.821841210956,-0.6210435332206227
2024-05-09,5531.874708538223,1,1,0.5,0.5,0.0,1.0,0.23349046170525573,-0.47131618967153166,0.0073722788043453225,14490.821841210956,-0.6182497604928154
2024-05-10,5553.4405604743715,1,1,0.5,0.5,0.0,1.0,0.2959535336866904,0.5078854973721726,0.0038984707847526945,14490.821841210956,-0.6167615183370244
2024-05-11,5604.158308699748,1,1,0.5,0.5,0.0,1.0,0.3282555353470091,0.6095206591132092,0.009132671480514443,14490.821841210956,-0.6132615271853052
2024-05-12,5688.523512940775,1,1,0.5,0.5,0.0,1.0,0.133540132989382,0.6052057773675491,0.01505403659101856,14490.821841210956,-0.6074395520643983
2024-05-13,5537.659339938593,1,1,0.5,0.5,0.0,1.0,-0.08570586004261087,0.6674258273138317,-0.02652079624158754,14490.821841210956,-0.6178505677166046
2024-05-14,5800.2563396291835,1,1,0.5,0.5,0.0,1.0,0.6662422798383822,-0.5046060987509661,0.04742021557676801,14490.821841210956,-0.5997289592551864
2024-05-15,5747.949937243629,1,1,0.5,0.5,0.0,1.0,0.4603199205149984,-0.8270790424193667,-0.009017946677318367,14490.821841210956,-0.603338582157098
